iteraties,HCShort4HollandFalse,HCShort5HollandFalse,HCShort6HollandFalse,HCShort7HollandFalse,HCShort4HollandTrue,HCShort5HollandTrue,HCShort6HollandTrue,HCShort7HollandTrue
64,8919.9559,8899.9502,8879.9408,9359.9223,8419.9613,8899.9467,9379.9349,8859.9337
65,8919.956,8899.9499,8879.9407,9359.9223,8919.956,8899.9443,8879.9416,9359.9289
66,8919.9559,8899.9478,8879.9416,8859.932,8919.956,8899.9448,8879.9403,8859.9353
67,8419.9604,8899.9497,8879.943,9359.921,8419.9605,8899.9437,8879.9438,8859.9339
68,8919.956,8899.9478,9379.9361,9359.9259,8419.9612,8899.9495,8879.9432,9359.9246
69,8419.9605,8899.9464,8879.9427,9359.9226,8419.9612,8399.9538,8879.9417,8859.9311
70,8419.9607,8899.9454,9379.9353,9359.93,8419.9602,8399.9531,9379.9329,9359.9266
71,8419.9613,8899.9454,8879.9399,8859.9316,8419.9613,8899.9491,8879.9394,9359.9219
72,8419.9588,8899.9502,9379.9374,8859.9328,8419.9589,8899.9479,8879.9414,9359.9211
73,8419.961,8899.9487,8879.9386,9359.9288,8419.9612,8399.9531,9379.9374,9359.9273
74,8419.961,8899.9466,8879.9428,9359.9266,8919.956,8899.9486,8879.9418,9359.9248
75,8419.9612,9399.9446,8879.9409,9359.9283,8919.9559,8899.9485,8879.9356,8859.9339
76,8919.956,9399.9446,8879.9386,9359.9225,8919.9559,8899.9502,9379.9329,8859.9348
77,8419.9611,8899.9475,8879.943,8859.9323,8919.956,8899.9465,9379.9389,9359.9273
78,8919.956,8899.9442,8879.9431,9359.9279,8419.9594,8899.9486,9379.9329,9359.9231
79,8419.9612,8399.9547,9379.9374,9359.9212,8419.9604,8899.9497,8879.9423,9359.9221
80,8419.9604,8899.9475,8879.9427,9359.93,8919.9559,8899.9488,9379.9329,9359.9273
81,8919.956,8899.9437,8879.943,9359.9272,8419.9613,8899.9466,8879.9425,9359.9271
82,8419.9613,8899.9454,8879.9386,9359.9296,8419.9612,8899.9499,8879.9402,8859.9343
83,8419.9605,8899.9503,8879.9391,8859.9309,8419.9613,8399.9547,9379.9389,9359.925
84,8919.956,8899.9475,8879.9421,9359.9224,8919.9559,8399.9538,8879.9355,9359.9268
85,8419.9613,8899.9502,8879.9413,9359.9287,8419.9613,8899.9448,8879.9401,9359.9288
86,8419.9613,8899.9452,9379.9341,9359.9293,8919.956,8899.9465,8879.9429,9359.9268
87,8919.956,8899.9495,8879.9422,9359.9277,8919.9559,8899.9485,8879.9401,9359.9253
88,8919.956,8899.9503,8879.9407,9359.9246,8419.9587,8899.9497,9379.9365,9359.9284
89,8419.9604,8899.9502,8879.9406,9359.9211,8419.9612,8399.9532,8879.9425,9359.9235
90,8419.9611,8899.9488,8879.9428,8859.9328,8919.956,8899.9502,8879.9396,9359.9266
91,8919.9559,8899.9475,9379.9338,9359.93,8919.9559,8899.9464,8879.9428,9359.9324
92,8919.956,8899.9488,8879.9418,9359.9272,8419.9607,9399.9446,9379.9365,8859.9335
93,8419.9602,8899.9495,8879.9376,8859.9352,8419.9612,8899.9497,8879.9409,8859.9366
94,8419.9612,8899.9502,8879.943,9359.926,8919.956,8899.9503,8879.9423,9359.9266
95,8419.9612,8899.9489,9379.9329,9359.9266,8419.961,8899.9465,8879.9407,9359.9263
96,8419.9604,8899.9495,9379.9381,8859.9315,8419.9602,8399.9531,8879.9408,9359.9269
97,8919.956,8899.9451,9379.9361,9359.9276,8419.9612,8899.9445,8879.9417,8859.9349
98,8919.9559,8899.9451,8879.9425,9359.9232,8419.9613,8899.9454,8879.9378,8859.9353
99,8419.9612,8899.9499,8879.9434,8859.9334,8419.9613,8899.9485,8879.938,9359.9233
100,8419.9607,8899.9437,9379.9374,9359.9275,8419.9611,8899.9437,9379.934,8859.9364
